slug,和名,検索学名,実際の学名,観察ID,撮影者,ライセンス,画像URL
malayan-box-turtle,マレーハコガメ,Cuora amboinensis,Cuora amboinensis,177443925,anguspritchard,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/308616084/large.jpg
asian-leaf-turtle,アジアヤマガメ,Cyclemys dentata,Cyclemys dentata,202138501,senonurrohman,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/356948848/large.jpeg
asian-black-marsh-turtle,クロヌマガメ,Siebenrockiella crassicollis,Siebenrockiella crassicollis,33416889,rongrong_a,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/52484172/large.jpg
hirase-turtle,ヒラセガメ,Cuora mouhotii,Cuora mouhotii,33787673,rohanmenzies,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/53103952/large.jpeg
spotted-turtle,キボシイシガメ,Clemmys guttata,Clemmys guttata,10827515,elspethpierce,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/15171536/large.jpg
wood-turtle,モリイシガメ,Glyptemys insculpta,Glyptemys insculpta,121868349,chasemathey,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/206275907/large.jpg
blandings-turtle,ブランディングガメ,Emydoidea blandingii,Emydoidea blandingii,47270014,evangrimes,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/74968574/large.jpeg
carolina-diamondback-terrapin,カロリナダイヤモンドガメ,Malaclemys terrapin centrata,Malaclemys terrapin centrata,217139990,fanningrr,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/384095480/large.jpeg
northern-diamondback-terrapin,キタダイヤモンドガメ,Malaclemys terrapin terrapin,Malaclemys terrapin terrapin,219634587,gwt2102,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/388774279/large.jpg
ornate-diamondback-terrapin,ニシキダイヤモンドガメ,Malaclemys terrapin macrospilota,Malaclemys terrapin macrospilota,107198259,milkweed_mapper,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/180247900/large.jpeg
annulated-wood-turtle,クモノスヤマガメ,Rhinoclemmys annulata,Rhinoclemmys annulata,15202503,johngsalamander,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/22740293/large.jpg
painted-wood-turtle,アカスジヤマガメ(ニシキマゲクビ),Rhinoclemmys pulcherrima,Rhinoclemmys pulcherrima rogerbarbouri,245150697,mar_y_sierra_silvestre,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/437409752/large.jpeg
brown-wood-turtle-manni,マンヤマガメ,Rhinoclemmys pulcherrima,Rhinoclemmys pulcherrima rogerbarbouri,21361274,alfredoavila,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/33040092/large.jpeg
nicaragua-wood-turtle,ニカラグアヤマガメ,Rhinoclemmys funerea,Rhinoclemmys funerea,269212528,prodewald,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/484016226/large.jpg
giant-musk-turtle,スジオオニオイガメ,Staurotypus triporcatus,Staurotypus triporcatus,10658621,krotalo25,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/14875612/large.jpeg
giant-musk-turtle-mx,スジオオニオイガメ(メキシコ),Staurotypus triporcatus,Staurotypus triporcatus,339448066,juancruzado,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/617506271/large.jpg
