slug,idx,観察ID,撮影者,ライセンス,画像URL
ornate-box-turtle,5,287931004,marinbeenerd,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/517746868/large.jpg
ornate-diamondback-terrapin,1,107198259,milkweed_mapper,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/180247900/large.jpeg
ornate-diamondback-terrapin,2,213424855,dark_l0rd2,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/377182688/large.jpg
ornate-diamondback-terrapin,3,271885412,as_is_the_sea,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/489103462/large.jpeg
ornate-diamondback-terrapin,4,78104123,milkweed_mapper,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/127779285/large.jpeg
ornate-diamondback-terrapin,5,225038211,milkweed_mapper,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/398935740/large.jpeg
stripe-necked-musk-turtle,1,3663150,friel,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/4241656/large.JPG
stripe-necked-musk-turtle,2,113045966,supertiger,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/190996915/large.jpg
stripe-necked-musk-turtle,3,174470274,taytonalvis,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/303107632/large.jpg
stripe-necked-musk-turtle,4,173891398,cowturtle,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/302038714/large.jpg
stripe-necked-musk-turtle,5,306517962,charlieolson,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/552774891/large.jpg
giant-musk-turtle,1,10658621,krotalo25,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/14875612/large.jpeg
giant-musk-turtle,2,339448066,juancruzado,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/617506271/large.jpg
giant-musk-turtle,3,70479227,dianafr,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/114587400/large.jpeg
giant-musk-turtle,4,37629115,texonzanatta,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/59688325/large.jpeg
giant-musk-turtle,5,320302908,wilmer12929,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/579097076/large.jpg
spotted-turtle,1,10827515,elspethpierce,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/15171536/large.jpg
spotted-turtle,2,89678018,nlblock,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/148116718/large.jpeg
spotted-turtle,3,69692514,ash2016,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/113137807/large.jpeg
spotted-turtle,4,281949988,ecovore,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/506521115/large.jpg
spotted-turtle,5,10480295,joshl,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/14570691/large.jpeg
yellow-mud-turtle,1,87296806,fishesoftexas,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/143902751/large.jpeg
yellow-mud-turtle,2,123193560,pufferchung,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/208674395/large.jpeg
yellow-mud-turtle,3,41589556,nlblock,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/65987137/large.jpeg
yellow-mud-turtle,4,110795478,chris_and_pamela_pipes,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/186960570/large.jpeg
yellow-mud-turtle,5,52899125,codystricker,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/84114459/large.jpg
wood-turtle,1,121868349,chasemathey,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/206275907/large.jpg
wood-turtle,2,79085303,slamonde,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/129496334/large.jpg
wood-turtle,3,47532193,wearethechampignons,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/75389514/large.jpg
